rank,condition_id,noise_amplitude,quench_duration,expected_seeds,initial_seed_count,2d_done,2d_failed,2d_passes,2d_pass_rate,2d_mean_level,local_3d_created,local_3d_done,local_3d_failed,local_3d_passes,local_3d_pass_rate_expected,local_3d_mean_level,local_3d_min_level,local_3d_mean_defects,condition_complete
1,h001-v160,0.0033598183,2.0,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,3.4,True
2,h001-v181,0.006951928,2.75,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,3.0,True
3,h001-v090,0.0002636651,2.0,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
4,h001-v100,0.000379269,2.0,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
5,h001-v110,0.0005455595,2.0,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
6,h001-v130,0.0011288379,2.0,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
7,h001-v140,0.0016237767,2.0,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
8,h001-v150,0.0023357215,2.0,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
9,h001-v111,0.0005455595,2.75,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
10,h001-v121,0.00078476,2.75,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
11,h001-v131,0.0011288379,2.75,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
12,h001-v161,0.0033598183,2.75,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
13,h001-v171,0.0048329302,2.75,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
14,h001-v132,0.0011288379,3.25,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
15,h001-v142,0.0016237767,3.25,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
16,h001-v152,0.0023357215,3.25,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
17,h001-v172,0.0048329302,3.25,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
18,h001-v182,0.006951928,3.25,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
19,h001-v192,0.01,3.25,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
20,h001-v143,0.0016237767,3.75,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
21,h001-v153,0.0023357215,3.75,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
22,h001-v163,0.0033598183,3.75,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
23,h001-v173,0.0048329302,3.75,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
24,h001-v193,0.01,3.75,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
25,h001-v154,0.0023357215,4.0,5,5,5,0,5,1.0,2.0,5,5,0,5,1.0,1.2,1,2.8,True
